Label,Parent Name,Atlas Name,Substitute,TA Name,Hierarchy,TA ID,Wikipedia Title
-1,right frontal lobe,right inferior frontal gyrus,,inferior frontal gyrus,frontal lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.113,Inferior frontal gyrus
-1,right frontal lobe,right middle frontal gyrus,,middle frontal gyrus,frontal lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.118,Middle frontal gyrus
-1,right cerebral hemisphere,right frontal lobe,,frontal lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.110,Frontal lobe
-1,telencephalon,right cerebral hemisphere,,cerebral hemisphere,telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.002,Cerebral hemisphere
-1,prosencephalon,telencephalon,,telencephalon,prosencephalon;brain;central nervous system;nervous system,A14.1.03.008,Cerebrum
-1,right cerebral hemisphere,right occipital lobe,,occipital lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.132,Occipital lobe
-1,midbrain,left side of midbrain,midbrain,tectum of midbrain,mesencephalon;brain;central nervous system;nervous system,A14.1.06.601,Midbrain tectum
-1,Head and Neck Muscles,Eyeballs,eyeball,eyeball,eye;sense organs,A15.2.01.001,
-1,Brain,prosencephalon,,prosencephalon,brain;central nervous system;nervous system,A14.1.03.006,Forebrain
-1,midbrain,right side of midbrain,midbrain,tectum of midbrain,mesencephalon;brain;central nervous system;nervous system,A14.1.06.601,Midbrain tectum
-1,Brain,midbrain,mesencephalon,mesencephalon,brain;central nervous system;nervous system,A14.1.03.005,Midbrain
-1,Brain Atlas,Brain,,brain,central nervous system;nervous system,A14.1.03.001,Human brain
-1,Head and Neck Muscles,Muscles of Pharynx,,pharyngeal muscles,muscles of neck;muscles,A04.2.06.001,Pharyngeal muscles
-1,Head and Neck Muscles,Muscles of Mastication,,muscles of head,muscles,A04.1.00.001,
-1,Head and Neck Muscles,Muscles of the Tongue,,muscles of tongue,muscles of head;muscles,A04.1.05.001,
-1,Head and Neck Muscles,Extraocular Muscles,,extraocular part,central retinal artery;ophthalmic artery;cerebral part;internal carotid artery;common carotid artery;arch of aorta;aorta;arteries;cardiovascular system,A12.2.06.025,
-1,Head and Neck Muscles,Muscles of Soft Palate,,muscles of soft palate and fauces,muscles of head;muscles,A04.1.06.001,
-1,Head and Neck Muscles,Muscles of the Face,facial muscles,facial muscles,muscles of head;muscles,A04.1.03.001,Facial muscles
-1,Head and Neck Muscles,Muscles of the Neck,,muscles of neck,muscles,A04.2.00.001,
-1,,Brain Atlas,-,,,,
-1,right hemisphere of cerebellum,lateral hemispheric zone 2,-,,,,
-1,left thalamus,lateral nuclear group,-,,,,
-1,right thalamus,ventral nuclear group,-,,,,
-1,right thalamus,lateral nuclear group,-,,,,
-1,left cerebral hemisphere,subcortex of left cerebral hemisphere,-,,,,
-1,Brain Atlas,Head and Neck Muscles,-,,,,
